"Year","Labour productivity and related measures","Industry","VALUE"
2013,"Labour productivity","Service-producing businesses",45
2013,"Labour productivity","Energy sector",281
2013,"Labour productivity","Information and communication sector",99.6
2013,"Total compensation per hour worked","All industries",28.97
2013,"Total compensation per hour worked","Business sector industries",27.25
2013,"Total compensation per hour worked","Goods-producing businesses",28.61
2013,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",12.38
2013,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",42.86
2013,"Total compensation per hour worked","Utilities [BS22]",57.72
2013,"Total compensation per hour worked","Construction [BS23]",29.66
2013,"Total compensation per hour worked","Manufacturing [BS3A]",31.77
2013,"Total compensation per hour worked","Service-producing businesses",26.46
2013,"Total compensation per hour worked","Energy sector",53.95
2013,"Total compensation per hour worked","Information and communication sector",40.46
2013,"Unit labour cost","All industries",0.565
2013,"Unit labour cost","Business sector industries",0.541
2013,"Unit labour cost","Goods-producing businesses",0.48
2013,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.21
2013,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.199
2013,"Unit labour cost","Utilities [BS22]",0.297
2013,"Unit labour cost","Construction [BS23]",0.789
2013,"Unit labour cost","Manufacturing [BS3A]",0.58
2013,"Unit labour cost","Service-producing businesses",0.589
2013,"Unit labour cost","Energy sector",0.192
2013,"Unit labour cost","Information and communication sector",0.406
2013,"Unit labour cost in US dollars","All industries",0.549
2013,"Unit labour cost in US dollars","Business sector industries",0.526
2013,"Unit labour cost in US dollars","Goods-producing businesses",0.466
2013,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.204
2013,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.193
2013,"Unit labour cost in US dollars","Utilities [BS22]",0.288
2013,"Unit labour cost in US dollars","Construction [BS23]",0.766
2013,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.563
2013,"Unit labour cost in US dollars","Service-producing businesses",0.571
2013,"Unit labour cost in US dollars","Energy sector",0.186
2013,"Unit labour cost in US dollars","Information and communication sector",0.394
2013,"Labour share","All industries",55.8
2013,"Labour share","Business sector industries",54.2
2013,"Labour share","Goods-producing businesses",48.5
2013,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",25.4
2013,"Labour share","Mining and oil and gas extraction [BS21]",19
2013,"Labour share","Utilities [BS22]",28.4
2013,"Labour share","Construction [BS23]",74.8
2013,"Labour share","Manufacturing [BS3A]",59
2013,"Labour share","Service-producing businesses",58.5
2013,"Labour share","Energy sector",17.6
2013,"Labour share","Information and communication sector",41.3
2013,"Total number of jobs","All industries",586980
2013,"Total number of jobs","Business sector industries",432510
2013,"Total number of jobs","Goods-producing businesses",158685
2013,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",42115
2013,"Total number of jobs","Mining and oil and gas extraction [BS21]",22465
2013,"Total number of jobs","Utilities [BS22]",3245
2013,"Total number of jobs","Construction [BS23]",61785
2013,"Total number of jobs","Manufacturing [BS3A]",29075
2013,"Total number of jobs","Service-producing businesses",273825
2013,"Total number of jobs","Energy sector",20375
2013,"Total number of jobs","Information and communication sector",10130
2013,"Hours worked for all jobs","All industries",1052712.4
2013,"Hours worked for all jobs","Business sector industries",799234
2013,"Hours worked for all jobs","Goods-producing businesses",338195.3
2013,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",94096.8
2013,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",52915.3
2013,"Hours worked for all jobs","Utilities [BS22]",6036.4
2013,"Hours worked for all jobs","Construction [BS23]",127949
2013,"Hours worked for all jobs","Manufacturing [BS3A]",57197.8
2013,"Hours worked for all jobs","Service-producing businesses",461038.7
2013,"Hours worked for all jobs","Energy sector",45895.5
2013,"Hours worked for all jobs","Information and communication sector",18071
2013,"Annual average number of hours worked for all jobs","All industries",1793
2013,"Annual average number of hours worked for all jobs","Business sector industries",1848
2013,"Annual average number of hours worked for all jobs","Goods-producing businesses",2131
2013,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2234
2013,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2355
2013,"Annual average number of hours worked for all jobs","Utilities [BS22]",1860
2013,"Annual average number of hours worked for all jobs","Construction [BS23]",2071
2013,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1967
2013,"Annual average number of hours worked for all jobs","Service-producing businesses",1684
2013,"Annual average number of hours worked for all jobs","Energy sector",2253
2013,"Annual average number of hours worked for all jobs","Information and communication sector",1784
2013,"Total compensation for all jobs","All industries",32427082
2013,"Total compensation for all jobs","Business sector industries",23134436
2013,"Total compensation for all jobs","Goods-producing businesses",10515776
2013,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",1109846
2013,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",2700746
2013,"Total compensation for all jobs","Utilities [BS22]",353584
2013,"Total compensation for all jobs","Construction [BS23]",4292572
2013,"Total compensation for all jobs","Manufacturing [BS3A]",2059028
2013,"Total compensation for all jobs","Service-producing businesses",12618660
2013,"Total compensation for all jobs","Energy sector",2244836
2013,"Total compensation for all jobs","Information and communication sector",736789
2013,"Nominal value added","All industries",78888767
2013,"Nominal value added","Business sector industries",62675792
2013,"Nominal value added","Goods-producing businesses",40249628
2013,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",7722485
2013,"Nominal value added","Mining and oil and gas extraction [BS21]",19095506
2013,"Nominal value added","Utilities [BS22]",1576818
2013,"Nominal value added","Construction [BS23]",6979871
2013,"Nominal value added","Manufacturing [BS3A]",4874948
2013,"Nominal value added","Service-producing businesses",22426164
2013,"Nominal value added","Energy sector",17964123
2013,"Nominal value added","Information and communication sector",1291119
2013,"Real value added","All industries",78660321
2013,"Real value added","Business sector industries",62901074
2013,"Real value added","Goods-producing businesses",40968115
2013,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",7482834
2013,"Real value added","Mining and oil and gas extraction [BS21]",19823853
2013,"Real value added","Utilities [BS22]",1384927
2013,"Real value added","Construction [BS23]",7049501
2013,"Real value added","Manufacturing [BS3A]",5151339
2013,"Real value added","Service-producing businesses",21948089
2013,"Real value added","Energy sector",17147700
2013,"Real value added","Information and communication sector",1325619
2013,"Labour productivity","All industries",74.7
2013,"Labour productivity","Business sector industries",78.7
2013,"Labour productivity","Goods-producing businesses",121.1
2013,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",79.5
2013,"Labour productivity","Mining and oil and gas extraction [BS21]",374.6
2013,"Labour productivity","Utilities [BS22]",229.4
2013,"Labour productivity","Construction [BS23]",55.1
2013,"Labour productivity","Manufacturing [BS3A]",90.1
2013,"Labour productivity","Service-producing businesses",47.6
2013,"Labour productivity","Energy sector",373.6
2013,"Labour productivity","Information and communication sector",73.4
2013,"Total compensation per hour worked","All industries",30.8
2013,"Total compensation per hour worked","Business sector industries",28.95
2013,"Total compensation per hour worked","Goods-producing businesses",31.09
2013,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",11.79
2013,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",51.04
2013,"Total compensation per hour worked","Utilities [BS22]",58.58
2013,"Total compensation per hour worked","Construction [BS23]",33.55
2013,"Total compensation per hour worked","Manufacturing [BS3A]",36
2013,"Total compensation per hour worked","Service-producing businesses",27.37
2013,"Total compensation per hour worked","Energy sector",48.91
2013,"Total compensation per hour worked","Information and communication sector",40.77
2013,"Unit labour cost","All industries",0.412
2013,"Unit labour cost","Business sector industries",0.368
2013,"Unit labour cost","Goods-producing businesses",0.257
2013,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.148
2013,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.136
2013,"Unit labour cost","Utilities [BS22]",0.255
2013,"Unit labour cost","Construction [BS23]",0.609
2013,"Unit labour cost","Manufacturing [BS3A]",0.4
2013,"Unit labour cost","Service-producing businesses",0.575
2013,"Unit labour cost","Energy sector",0.131
2013,"Unit labour cost","Information and communication sector",0.556
2013,"Unit labour cost in US dollars","All industries",0.4
2013,"Unit labour cost in US dollars","Business sector industries",0.357
2013,"Unit labour cost in US dollars","Goods-producing businesses",0.249
2013,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.144
2013,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.132
2013,"Unit labour cost in US dollars","Utilities [BS22]",0.248
2013,"Unit labour cost in US dollars","Construction [BS23]",0.591
2013,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.388
2013,"Unit labour cost in US dollars","Service-producing businesses",0.558
